ko	en
또 대만은 한국과 비슷한 모양의 문화재들이 많았다.	Also in Taiwan, many cultural assets has similar shapes to those in Korea.
한국 국제 학교에서 모여서 함께 심사해야 해요.	We have to evaluate together by gathering in Korea's international school.
필터 제품이랑 같이 받도록 하겠습니다.	I'll take it with the filter product.
멀리서 나도 너의 어머니 명복을 빌게.	I'll pray for the repose of your mother's soul.
두 달간 힘들고 두 달 후엔 쉬워요.	It's tough for two months but after that it's easy.
영어일기는 학원 선생님과 우리 누나의 도움을 받아 대충 끝냈어.	So I roughly wrote an English diary with my sister and academy teacher.
설명하는 당신 목소리도 아름다워요.	Your voice is beautiful when you explain.
이 남자는 한국의 유명한 가수예요.	This man is a famous singer in Korea.
말을 많이 하다 보면 실수하게 돼요.	You can make a mistake when you talk too much.
알지만 이보다 나은 방법은 떠오르지 않아요.	I know it but I have no way other than this.
저 결혼 중매업에 합류할 생각이에요.	I'm thinking of joining a match-making business.
이 건물은 학생들이 가장 많이 찾는 곳입니다.	This building is most famous among students.
하지만 하도현이 초능력이 생기자 10년 동안 못 만났습니다.	But after Ha Dohyun got supernatural power, they have never met each other.
그건 당신 건강에 좋지 않을 겁니다.	It would be bad for your health.
대학교를 통해 영어도 잘하고 싶고 많은걸 알아가고 싶습니다.	Plus, efforts to resolve them is also one of my strengths.
일본 미용 협회의 회장과의 만남을 위해 일정을 조율하고 있습니다.	We are adjusting the schedule for meeting with the president of Japan Beauty Institution.
우리가 회의한 내용을 정리하여 메일로 보내겠습니다.	I'll send you an email including the contents of our meeting.
당신이 열심히 공부해서 한국 생활에 빨리 적응하면 좋겠어요.	I hope you study Korean and get used to living in Korea.
난 당신과 함께할 준비가 돼 있어.	I'm ready to be with you.
하느님의 은혜가 오늘 이 자리에 있기를 희망합니다.	I hope God's blessing is in this place today.
여행을 좋아하지만, 한국에 살고 있어요.	I like traveling but I am living in Korea.
여자들의 한복은 크게 저고리와 치마로 나뉘어 있습니다.	Women's Hanbok is broadly divided into #Jeogori# and skirt.
말도 안 통하고 친구도 없어 생활 자체가 힘들어.	The life is tough because I am not used to this lifestyle and I can not communicate well.
그가 해야 할 일은 결혼만 남았어요.	The only thing left for him to do is a marriage.
우선 월요일은 항상 피곤한 날이에요.	First, every Monday is tiring.
딸이 가진 항체로 모든 사람이 치료를 할 수 있었다.	Everyone could be cured with the antibody that my daughter had.
직원들이 사용할 수 있는 책상과 의자 제공해야 합니다.	We need to provide enough desks and chairs for our employees.
그쪽이 생각하기에 제가 매력적인가요?	In your thought, am I charming?
일은 함께 힘을 모아 하는 거예요.	Work is to be done together.
당신이 필요한 것이 무엇이라는 것은 중요하지 않습니다.	It's of little importance what you need.
그렇게 생각하는 것이 더 심적으로 네가 편할 거야.	You better think that way so that you can feel comfortable.
조용한 분위기를 좋아하기 때문이에요.	Because I like the peaceful atmosphere.
이번 주에 고향 친구들 모임이 있어요.	I am supposed to attend a reunion with my hometown friends this week.
이렇게 평범하지 않은 치킨을 모든 사람이 즐길 수 있습니다.	Everyone can enjoy this unique chicken.
패스트푸드 회사를 고소한 여고생의 행동은 바람직하지 않아요.	The actions of the high school girl suing the fast food restaurant isn't right.
친구와 친해지는 방법은 3가지예요.	There are 3 ways to get closer to friends.
인물들 소개와 그 가족의 소개예요.	It is an introduction of characters and family members.
제 장점은 항상 잘 웃는다는 것과 사교성이 좋다는 것입니다.	My merits are that I always smile and have good interaction with other people.
여기에 연락처를 적어주실 수 있나요?	Can you leave your number here?
난 당신에게 여자친구가 있다는 것을 들었어요.	I heard that you have a girlfriend.
네가 초대하고 싶은 사람의 연락처를 나에게 줄 수 있니?	Can you give me the contact number that you want to invite?
면세점보다 저렴한 가격으로 판매합니다.	It's cheaper than in a duty-free shop.
여기 오면 해줄 수 있는 거 없어요.	There is nothing I can do if you come here.
회사에 도착해서 모닝 커피를 마시고 일과를 시작합니다.	I arrived at the company and drank morning coffee.
나는 어제 추격자라는 영화를 봤어요.	"I saw a movie called ""The chaser"" yesterday."
장착 시 물고기 판매가격이 50% 증가합니다.	The selling price for fish will increase by 50% if equipped.
결정화에 관한 연구를 하고 있기 때문에 그 부분이 궁금합니다.	I am curious about the Crystallization as I am on a research on it.
5년 전 호주 여행을 할 때 중국인에게 도움을 받았었어.	One Chinese helped me when I traveled to Australia 5 years ago.
이번 주 시험 기간이라 더 자주 연락 못 할 것 같아.	I have exams this week, so I might not be able to contact you often.
따라서, 대한민국의 교육은 아직 해결되어야 할 부분들이 많습니다.	Thus, the Korean education still needs to solve a lot of problems.
그곳은 중동 출신 학생들만 지원 가능한가요?	Is this application only for the students from the Middle East?
당신도 그렇게 생각하고 있어서 다행이에요.	It's a relief that you have the same opinion as me.
피곤할 때 초콜릿을 먹으면 좋아요.	Eating chocolate is good when you are tired.
이 모델은 LTE 모뎀이 있는 모델인지 궁금하네요.	I am curious whether this model has an LTE modem as well.
당신하고 통화해서 너무너무 기뻐요.	I'm so happy to have a phone call with you.
내 여자친구는 이쁘고 공부도 잘해.	My girlfriend is pretty and smart.
추석과 비슷하게 추수 감사절에는 신께 기도해요.	We pray on Thanksgiving day as we do in Chusuk.
그것에 민감하다면 조금씩 사용하세요.	If your skin is too sensitive, please use a smaller portion.
학기 중에 편지 못 써 줘서 미안해.	Sorry for not sending you letters during the semester.
그녀가 유모차를 끌고 산책하고 있어요.	She's taking a walk pushing a stroller.
2년간 기억했던 추억들은 모두 혼자서 만든 추억이었나보네.	The memories I kept for the last two years must have been memories made by myself.
조금 더 자세한 사진까지 올려주시면 감사하겠습니다.	Also, I'd appreciate it if you could upload more detailed pictures.
천송이가 시험에서 0점을 맞았던 강의실도 이곳인가요?	Is this the classroom that Song-I Cheon had a 0 point at the exam?
읽으신다면 한계에 도전한 그녀의 정신을 느낄 수 있으실 겁니다.	If you read the book, you can feel her spirit who has challenged to limit.
그 과정이 힘들고 불편해도 이해해 주길 바래요.	Even if the process is difficult and uncomfortable, please understand.
단순히 당신의 마음이 변한 거예요.	You have simply changed your mind.
직접 로스팅한 원두로 만든 커피, 브런치를 즐길 수 있다.	You can enjoy house-roasted coffee and brunch in here.
이것과 비슷한 물건이 있나 확인하자.	Let's check if there is a similar one to this.
이러한 늦은 귀가를 이유로 많은 부부가 다투게 됩니다.	Many couples fight with each other because of the problem of coming home late.
한국인은 시험 및 문법 위주의 교육을 받아 왔다.	Korean have been educated focused on tests and grammar.
역시 비싼 항공권이 좋구나. 앞으로의 여행일정은 어떻게 되니?	With no doubt the expensive airline ticket is good. What are your plans for the rest of your trip?
다음 주가 시험이라서 오늘도 시험공부를 했습니다.	I studied today also because the exam is next week.
이들에게 딱 맞는 것이 단양에 있습니다.	The thing perfect for them is in Danyang.
나는 지난 화요일 임플란트를 했어요.	I've put an implant last Tuesday.
당신이 설명하면 나는 더 미안해요.	I am even more sorry if you explain it.
이 두 이야기는 매우 연관되어 있어요.	The two stories are closely related.
내일 시험 보는 과목을 공부 중이야.	I'm studying for tomorrow's exam.
한 학기 동안 강의해주셔서 감사합니다.	Thank you for your lecture for a semester.
티코는 한국에서 제조된 자동차예요.	Tico is a car made in Korea.
당신은 어떠한 사업을 하던 잘 할 수 있을 겁니다.	You will do well whatever business you do.
한국과 비교하면 결혼을 일찍 해요.	They get married earlier compared to the normal of Koreans.
당신에게 전화하고 싶지만 영어로 의사소통을 잘하지 못해요.	I want to call you, but I can't communicate well in English.
원인은 개체의 수가 적기 때문이에요.	It attributes to the low of population.
그들 중에 한 마리가 나를 보고 가까이 다가왔어요.	One of them saw me and came closer to me.
TV쇼에서 그는 예의 없는 것처럼 보였어.	He looked very rude on the TV show.
이것은 확인해서 나에게 알려주면 좋을 것 같아.	It would be great to check this and then let me know.
저는 고등학교 2학년이 되고 공부를 다시 시작했습니다.	I started to study again when I became a sophomore in high school.
난 잠의 유혹을 이겨 내지 못했어요.	I wasn't able to overcome the attraction of sleeping.
우리가 수출한 제품의 수리를 위해서 출장을 왔습니다.	We came here on a business trip to fix the products we exported.
앞으로도 생활을 잘할 수 있도록 많은 격려 부탁드리겠습니다.	Please send a lot of encouragement so our future lives will be good.
보통 많은 학생이 시험을 칠 때 사인펜을 사용해요.	Usually, many students use markers when they take an exam.
우리는 많은 장애에 부딪칠 거예요.	We will face many obstacles.
교수님, 저는 법학과 배성욱이라고 해요.	Professor, this is #Seong-wook Bae# majoring in-laws.
왜 같은 잉크인데 색 차이가 나죠?	Why is the color different despite using the same ink?
일부 개선사항이 적용된 버전을 구글플레이에 업데이트 하였습니다.	Now the app is updated with several improvements on Google Play.
친구가 필요해요 왜냐하면 영어 회화를 잘하고 싶기 때문입니다.	People aren't wearing jackets because the weather is warm.
기계가 고장 난 지 점검하고 있어요.	I'm checking if the machine is out of order.
네 명의 학생들에게 한 페이지씩 읽게 하세요.	Let every 4 students read one page.
눈 보호를 위해 꼭 필요한 물건이에요.	This is necessary to protect our eyes.
그들은 물 한잔조차도 다른 이의 도움을 받습니다.	They always get help from others even drinking a glass of water.
"숙소가 ""한동리""라는 조용한 마을 안에 있습니다."	"The accommodation is located in a quiet village called ""Handongri."""
A 제품에 대한 테스트 결과를 나의 고객에게 받았습니다.	I received a test result of product A from my client.
나는 지금 테니스 치러 가야겠어요.	I am going to play tennis now.
내가 확인 했을 때 그녀는 잃어버린 카드를 찾았다고 했어.	She said she found her lost card when I checked.
나는 퇴직 후에 라오스에서 살 계획을 가지고 있어요.	I'm planning to live in Laos after I retire
월요일 아침 회의에 몇 명 있었어요?	How many people attended the meeting on Monday morning?
전 아직 결혼을 안 했는데 이제는 정말 결혼하고 싶어요.	I am not married yet but now I really want to get married.
선생님께 아프다고 얘기 좀 해주세요.	Please tell the teacher that I'm sick.
그녀는 지금 바로 회의 들어갔는데요.	She's in the meeting now.
소풍 가기에 정말 이상적인 날씨예요.	It's the ideal weather for a picnic.
친구들과 호프집에서 일주일에 한 번 정도 마신다.	I drink about once a week at a pub with my friends.
나는 군사 훈련을 받는 동안 당신만을 생각했습니다.	I kept thinking of you during my training.
NDA협정 후에, 최대한 빨리 문의한 내용에 답변드리겠습니다.	We will answer to your inquiry as soon as possible after NDA agreement finalized.
또한 현대인에게 필요한 존재예요.	It is necessary for the modern man.
그 뜻은 많이 먹으라는 뜻이에요.	It means that you can enjoy your meal.
나는 다음 주에 낚시하러 갈 것입니다.	I will go fishing next week.
당신은 술 취하면 무슨 생각을 하나요?	What do you think when you are drunk?
그 생선을 드셨으면, 아팠을 거예요.	If you ate the fish, you would have become ill.
우리가 주문한 유니폼 중 하나의 품목이 빠져 있습니다.	One of the uniforms we orderd is missing.
시청률도 꾸준히 오르고 있으며 현재 푸드 방송계의 원탑으로 손꼽히고 있아요.	Its viewership has continued to increase, and now it’s the best food broadcast out there.
그녀는 지금 이곳에 있지 않습니다.	She's not here.
교수님, 저희가 엠티를 가야해서 수업에 빠져야해요	We'll have to miss the class due to the MT being on the same day, professor.
향토음식 전문점에서 해초 해선 짬뽕과 해주 비빔밥을 맛볼 수 있어요.	Here at this local speciality restaurant you can try things like chinese style spicy seaweed noodles and haeju style bibimbap.
당신이 준비한 자료는 아래 주소로 송부 바랍니다.	Please send the materials you prepared to the address below. 
델라 베일 홈페이지에서 판매되는 다른 제품을 구매하고 싶다면 이곳을 확인하세요.	If you want to purchase other products which are being sold on the website of Della Bale, check here.
1차발효가 끝난 반죽을 분할해서 성형해요.	After the bread undergoes its first fermented process, divide and shape the dough.
바람을 이용해서 먼저 결승선에 도착하는 팀이 이기는 경기에요.	It's a game where you use the wind to get to the finish line first.
동물실험을 하더라도 효율이 떨어져요.	It is inefficient even though we do animal experiments.
나는 영어책을 많이 읽을 예정이에요.	I'm going to read a lot of English books.
이 로봇은 아기를 돌보고 아기들을 놀아 줄 수 있다.	This robot can take care of and entertain babies.
이것은 한국의 궁을 찍은 사진이에요.	This is a picture of a Korean palace.
일이 끝난 후엔 자기 책상을 깨끗이 치우고 퇴근해요.	Clean your desk before you leave work.
그는 우리 회사를 퇴사하고 다른 회사로 이직했습니다.	He resigned from our company and went on to another one.
당신 학교에서는 운동회가 있었어요?	Did you have a Sports Day at your school?
당연히 교환학생 생활에는 어려움이 따를 것을 압니다.	Of course, I know that there will be difficulties when studying abroad as an exchange student.
근데 그런 형태라면 고대 페르시아나 그리스에도 있었다니까요.	But if it's that kind of form, it also existed in Ancient Persia or Greece.
당신은 이 파일들을 사용했나요?	Did you use these files?
이렇게까지 하는 데에는 이유가 있어.	There's a reason to do this.
당신은 서서히 나를 상상하게 될 거예요.	You'll imagine me gradually.
앞으로 더 좋은 작품에 출연해주세요!	Please make an appearance in better works afterward!
똑같은 일상을 반복해서 살 거예요.	I'll live the same routine over and over.
이번에 주문한 물건들도 한미 FTA 인보이스를 첨부해주세요.	Please attach the Korea-U.S. FTA invoice with this order, too.
사무실에서 어떤 옷을 입어야 합니까?	What should I wear in the office?
저의 꿈은 파티시에가 되는 거예요.	My dream is to become a patissier.
이것은 특별히 당신을 위해 만들어졌습니다.	It is made especially for you. 
요즘도 메이크업 공부를 하고 있어요.	I am still studying makeup nowaday.
오늘은 나 혼자 지하철을 타고 사촌 형 집에 놀러 갔어.	I went to my cousin's house by subway for myself today.
만약 네가 한국어를 배우고 싶어 한다면 내가 가르쳐 줄게.	I can teach you if you want to learn Korean.
제 꿈은 화학 연구원이며 그 꿈을 이루기 위해 지원했습니다.	My dream is to become a chemistry researcher and I applied to realize my dream.
마지막으로 친구와 나는 청소를 했어요.	Finally, friend and I cleaned up.
저는 어제 학원 가고 싶었는데 가지 못했어요.	Yesterday I wanted to go to the academy but I couldn't.
그런 나의 행동이 너를 위험에 빠뜨릴 수 있어.	My that kind of action can put you in danger.
그녀는 노력한 것보다 훨씬 좋은 점수를 받았습니다.	She got much better grades considering the efforts she put in.
