id,qid1,qid2,question1,question2,is_duplicate
1,1,2,1000일 만난 여자친구와 이별,10년 연예의끝,1
2,3,4,10년 연애사 되돌아보니 다 부질없네,10년이라는 시간이 참 무색하다 싶네,1
3,5,6,10년만나다 헤어지네,14년된 여자친구랑 이별,1
4,7,8,10월의 마지막밤 . 더 보고싶네 그사람,15년…안녕,1
5,9,10,14년의 기나긴 이야기.,1년 9개월 의 연애 종지부.,1
6,11,12,15년만에 쓰는 편지.,1년4개월의 종지부를 찍네.,1
7,13,14,1년 반.,1년만에 꿈에 나와서 설레게 하네,1
8,15,16,1년동거 끝에 헤어짐,1년만의 연애가 끝났네,1
9,17,18,1년만에 다시헤어지게 됐네,1년이 되어갑니다,1
10,19,20,1년을 넘게 만났는데 어떻게 이럽니까,1년이 지났어도,1
11,21,22,1년이 아무것도 아니였나,1년전 헤어진 남자한테서 연락이 왔어,1
12,23,24,1년전 그 날,2년 가까이 여친하구 헤어졌습니다,1
13,25,26,2년 6개월 이렇게 끝나네,2년 다되가는 연애 끝.,1
14,27,28,2년 가량의 연애,2년 사귀고 헤어졌습니다,1
15,29,30,2년 가량의 연애,2년 만났는데도 잘 모르는 부분이 많은 거 같아,1
16,31,32,2년 만에 연락 그후입니다 .,2년간 만난 여자친구와의 이별,1
17,33,34,2년 정도를 만났는데 잘 이해가 안가,"2년간의 단거리, 2년간의 장거리, 그리고 이별.",1
18,35,36,2년간 연애 끝에 헤어집니다,2년만에 연락을 했습니다.,1
19,37,38,2년동안 나 사랑해줘서 고맙다,2년여의 만남 사랑해 고마워,0
20,39,40,2년사귀다가 헤어젔는데,2년의 시간동안 사랑했는데,0
21,41,42,2년여의 만남,2년 동안 사궜어,0
22,43,44,2년의 꿈같았던 사랑 갑작스런 이별,2년이 지나서 첫사랑이 살던 곳 지나갔는데,1
23,45,46,2년의 연애에 이별이란 종착역!!,2주가 지났어,1
24,47,48,2년째 동거중인데 결혼하려고,2년째 좋아하는 사람이 있어.,1
25,49,50,2달반이라는 시간동안 많이 괜찮아졌어,2주동안 참을만 했는데,1
26,51,52,2주가지나가네,30살 막바지의 이별,1
27,53,54,2주전에 헤어졌습니다,3개월만에 연락이 왔습니다,1
28,55,56,30살이 넘었는데 짝사랑 계속해도 될까요.,3년 사겼는데 이제 결혼해야겠지?,1
29,57,58,3개월만에 연락이 왔어,3개월전에 헤어진 전남친이 문자했어,0
30,59,60,3개월이라는 시간이 흘렀지만 여전히 제자리걸음,3년 동거 돈 싸움. 헤어짐,1
31,61,62,3개월째,3년 연애 . 마침표가 도저히 끊기질 않네 어쩌면 좋죠,1
32,63,64,3년 반의 만남 끝에 헤어지게 되었습니다.,3년 째 트라우마,1
33,65,66,3년 사겼어,3년째 연애 중,0
34,67,68,3년 연애 끝에 여친이랑 헤어지고 한달 되었네요.,3년 만난 여자와 헤어진지 한달 되었습니다,0
35,69,70,3년간 만나던 여자친구와 헤어졌어,헤어진지 3년이 지난 지금,0
36,71,72,3년연애이별,3년이란 오랜기간 연애를 하다보니 권태기가 찾아오네,1
37,73,74,3년이란 시간이 흘렀는대도,3달이지났는데 이제야 헤어짐을 확신했네,1
38,75,76,3년째 짝사랑 중인 나 비정상이야?,짝사랑만 3년째,1
39,77,78,3달이 지났네,45일만에 진짜 헤어지네,1
40,79,80,3박4일 정도 놀러가고 싶다,3박4일 놀러가고 싶다,0
41,81,82,40을 목전에 둔 헤어짐,4년 반이라는 시간이 이렇게 끝나네.,1
42,83,84,4개월째.,4년 사귄뒤 이별. 어느새 5달이 다 되어가네여.,1
43,85,86,4년 사겼는데도 너무 좋아,4년째 연애하고 있어,0
44,87,88,4년 사귄 여자친구가 환승 이별했어,4년 4개월간의 사랑이 끝났네,1
45,89,90,4년 연애 중,4년째 짝사랑 중인 나 이제 고백해도 될까?,1
46,91,92,4년넘은 인연이 끝이났습니다.,4년을 만났어도 인연이 아니었나 보네요.,0
47,93,94,4년을 만난 여친이 떠났습니다.,4번의 재회와 4번의 헤어짐,1
48,95,96,4년을 엊그제 마무리 했습니다,5년 10개월간 연애. 그리고 이별 준비 중,1
49,97,98,"4월, 이별을 말합니다.",5년 사귄 여자친구와 이별이네. 조언부탁좀 드려,1
50,99,100,5년 가까이 사귄 그녀와 헤어졌습니다.,5년 만난 여친과 결국 헤어졌습니다,0
51,101,102,5년 동거후 이별.,5년 연애 후 이별 3개월차,1
52,103,104,5년 만났는데 매일 보고 싶어,5년 만났어,0
53,105,106,5년 연애 이별,5년 종교 문제 결국엔 헤어지네,1
54,107,108,5년 연애가 끝났습니다.,5년간 사귀고 헤어졌습니다.,0
55,109,110,5년간 사귀고 이별,5년 연애후 이별,0
56,111,112,5년연애 끝은 정말 멍하고 허무하네.,5년이란 시간이 무색해지네,0
57,113,114,"5년이 넘게 만난 첫 연인, 그리고 이별",6개월 가량의 이별과 재회의 끝,1
58,115,116,600일 좀 넘은 저의 사랑 그리고 이별이야기,6개월만에 다시 만납니다.,1
59,117,118,6개월간의 짧은 사랑.,6년 4개월동안의 연애. 그 후 이별 뭘해야할까,1
60,119,120,6개월이 지나도 왜이런거죠?,6년 이야기.,1
61,121,122,6년 연애 후 환승이별 당했어.,니가 떠난후 4년동안 난 미친듯이 살았다.,1
62,123,124,6년그리고남은 것들,7년 내남자,1
63,125,126,6년째 연애중,5년째 짝사랑 중인데 포기해야 할까?,1
64,127,128,7년만에 두번째 이별통보,7년사귄 남자친구의 유흥업소 방문사실을 알아버렸습니다,1
65,129,130,7년사귄 남자친구에게 배신당했어.,7년째,1
66,131,132,7년이라는 세월 함께한 애인과 이별하게 되었습니다.,8년 긴 만남의 끝은 힘드네,1
67,133,134,7일차,8년 만났는데 어떻게 헤어져,1
68,135,136,8년 긴 연애의 끝.,8년 사귀고 헤어짐,0
69,137,138,8년 사귀고 해어지려 합니다.,8년의 연애의 끝에 와있습니다.,1
70,139,140,8년 연애끝의 이별.,"9년연예,8년동거. 결국 헤어짐. 정말",1
71,141,142,9년 연애 환승이별,jk김동욱 노래 생각나네,1
72,143,144,9년간의 연애.,SNS 흔적,1
73,145,146,9년이 넘는 연애를 끝냅니다,가벼워졌다고 생각했는데,1
74,147,148,가끔 뭐하는지 궁금해,가끔 궁금해,0
75,149,150,가끔은 혼자인게 좋다,혼자라서 너무 좋아,0
76,151,152,가난한 자의 설움,돈 다 썼어,0
77,153,154,가만 있어도 땀난다,아 땀난다,0
78,155,156,가사가 내맘같아,가슴이 너무 아프고 숨쉬기가 힘드네,1
79,157,158,가스불 켜놓고 나온거 같아,가스불 켜고 나갔어,0
80,159,160,가스비 너무 많이 나왔다.,가스비 장난 아님,0
81,161,162,가슴 찢어지게 아파. 그 사람은 내 마음 알까?,가끔 짝남과 연애하는 상상을 해.,1
82,163,164,가슴 한편이 꾹꾹하네,가슴이 아프네,0
83,165,166,가슴은 계속 죽음만을 쳐다봅니다,가장 가까웠던 사람이 이제 가장 먼 사람이네,1
84,167,168,가슴이 뛰어,가끔 짝사랑 하는 여자애랑 데이트 하는 상상을 해.,1
85,169,170,가슴이 아파,가짜 이별 4개월만에 마침표 찍었습니다.,1
86,171,172,가슴이 허락하질 않네.,간단하게 사랑이라는건.,1
87,173,174,가을 타나 봐.,가슴 뛰는 사랑,1
88,175,176,가족 여행 고고,가족 여행 가기로 했어,0
89,177,178,가족관계 알려줘,간만에 꿈에 나와준 그녀 덕에 추억들이 막 떠오르네,1
90,179,180,가족끼리 엄청 친한 사인인데 좋아하게 됐어요.,고백했다 차이거나 헤어지면 어떡하죠.,1
91,181,182,가족끼리 여행간다.,가족여행 가야지,0
92,183,184,가족들 보고 싶어,엄마 보고 싶어,0
93,185,186,가족들이랑 서먹해졌어,가족들이랑 서먹해,0
94,187,188,가족들이랑 어디 가지?,가족 여행 어디로 가지?,0
95,189,190,가족들이랑 여행 갈거야,가족여행 가려고,0
96,191,192,가족이 누구야?,가족 있어?,0
97,193,194,가족이 아니지만 가족같은.,갑자기 사랑한다고 이야기해도 될까?,1
98,195,196,가족한테 스트레스 풀었어,스트레스를 가족한테 풀어,0
99,197,198,가혹한 이별 극복방법.,갈수록 더보고싶고 감당이안돼,1
100,199,200,각자 집에 인사드리러 가,갑자기 선을 긋는 사람,1
101,201,202,간간히 동굴에 들어가는 남친 어떻게 해야돼?,강아지 좋아하는 남자 어떤 것 같아?,1
102,203,204,간단하게 사랑이라는건.,감각이 무뎌질 때도 된 거 같은데,1
103,205,206,간만에 떨리니까 좋더라,오랜만에 떨려서 좋았는데,0
104,207,208,간만에 쇼핑 중,오랜만에 쇼핑,0
105,209,210,간식 뭐 먹을까,간식 추천,0
106,211,212,간장치킨 시켜야지,치킨 시켜야지,0
107,213,214,간접적으로 차버린 짝남한테 연락하고 싶어요.,강아지 좋아하는 여자 어떤 것 같아?,1
